Date,Close/Last,Volume,Open,High,Low
08/05/2019,138.87,18542990,138.14,138.89,137.66
08/02/2019,136.51,15143050,135.66,136.51,135.40
08/01/2019,135.26,26665020,133.39,135.39,133.26
07/31/2019,132.89,15798750,131.70,133.33,131.66
07/30/2019,131.83,5678475,132.00,132.10,131.43
07/29/2019,131.51,6231836,131.82,131.9499,131.395
07/26/2019,131.47,6188692,131.70,131.78,131.25
07/25/2019,131.16,8893057,131.25,131.41,130.51
07/24/2019,131.79,6389664,131.60,131.897,131.465
07/23/2019,131.22,8108940,131.60,131.74,130.965
07/22/2019,131.94,5204504,132.47,132.49,131.7439
07/19/2019,131.69,5804843,131.59,131.93,131.505
07/18/2019,132.00,5725713,131.47,132.32,131.24
07/17/2019,131.99,9662156,131.06,132.0184,131.05
07/16/2019,130.58,6172721,130.17,130.60,129.955
07/15/2019,130.97,6055917,130.45,131.05,130.45
07/12/2019,130.22,6992095,129.92,130.45,129.68
07/11/2019,130.07,14126800,131.31,131.41,129.76
07/10/2019,131.83,9470193,132.35,132.435,131.51
07/09/2019,132.56,6216115,132.68,132.71,132.16
07/08/2019,132.61,6489997,133.05,133.22,132.61
07/05/2019,132.43,12180130,132.54,132.55,131.67
07/03/2019,134.21,5380269,133.52,134.29,133.51
07/02/2019,133.26,10495460,132.57,133.39,132.46
07/01/2019,132.24,14141550,132.57,132.75,131.591
06/28/2019,132.81,8149205,132.58,133.08,132.4458
06/27/2019,132.90,9724166,132.31,133.09,131.99
06/26/2019,131.97,12766810,132.68,132.70,131.88
06/25/2019,132.82,9604623,132.79,133.09,132.72
06/24/2019,132.41,6378869,132.16,132.53,132.079
06/21/2019,131.43,14495150,132.51,132.53,131.375
06/20/2019,132.89,10721530,132.91,133.505,132.59
06/19/2019,132.54,11962500,131.86,132.72,131.58
06/18/2019,132.35,10320700,132.74,132.86,131.945
06/17/2019,131.69,6046416,131.39,131.76,131.13
06/14/2019,131.46,5838794,131.10,131.71,131.09
06/13/2019,131.13,5560844,130.80,131.25,130.79
06/12/2019,130.68,5278799,130.39,130.75,130.30
06/11/2019,130.58,5115128,130.42,130.76,130.32
06/10/2019,130.50,8289092,130.68,130.704,130.32
06/07/2019,131.74,11378670,131.79,132.07,131.438
06/06/2019,130.61,9621094,130.97,131.59,130.32
06/05/2019,130.19,8815195,130.52,130.95,130.12
06/04/2019,130.93,14250020,131.39,131.76,130.55
06/03/2019,132.44,17822450,131.91,132.58,131.55
05/31/2019,131.83,18933630,130.90,131.90,130.81
05/30/2019,130.20,13024760,129.33,130.23,128.8852
05/29/2019,129.09,13260570,129.67,129.90,129.00
05/28/2019,128.79,8098871,128.27,128.90,128.085
05/24/2019,127.78,4981893,127.56,127.78,127.39
05/23/2019,127.67,9743687,126.89,128.09,126.88
05/22/2019,126.25,5675312,125.77,126.33,125.72
05/21/2019,125.53,4022162,125.60,125.72,125.30
05/20/2019,125.73,6043112,126.12,126.38,125.65
05/17/2019,125.99,4747076,126.28,126.30,125.69
05/16/2019,125.71,7666369,125.81,125.83,125.53
05/15/2019,126.13,9566544,126.21,126.27,125.77
05/14/2019,125.36,5690447,125.51,125.65,125.20
05/13/2019,125.73,10501610,125.40,125.93,125.25
05/10/2019,124.75,6037925,124.89,125.45,124.59
05/09/2019,124.92,9412288,125.11,125.30,124.31
05/08/2019,124.41,6907690,125.15,125.2999,124.30
05/07/2019,124.95,8984929,124.53,125.14,124.39
05/06/2019,124.00,4482690,124.31,124.38,123.925
05/03/2019,123.66,6191750,123.66,123.875,123.37
05/02/2019,123.31,6613062,123.68,123.81,123.04
05/01/2019,123.90,14372110,123.69,124.45,123.60
04/30/2019,123.65,7956343,122.95,123.74,122.93
04/29/2019,123.02,10245900,123.23,123.35,122.85
04/26/2019,123.81,5950651,123.98,124.02,123.64
04/25/2019,123.39,5780867,123.49,123.62,123.10
04/24/2019,123.57,7301806,123.11,123.59,123.09
04/23/2019,122.57,6239566,122.61,122.70,122.39
04/22/2019,122.31,6241081,122.47,122.57,122.235
04/18/2019,122.90,27589260,122.81,123.10,122.78
04/17/2019,122.26,6118480,122.13,122.5701,122.11
04/16/2019,122.21,8927253,122.51,122.63,122.14
04/15/2019,122.98,3070036,122.775,122.99,122.72
04/12/2019,122.67,7004581,122.89,123.06,122.63
04/11/2019,123.55,8679053,123.93,124.02,123.41
04/10/2019,124.28,7519816,124.27,124.52,124.10
04/09/2019,123.98,7020279,124.22,124.335,123.77
04/08/2019,123.59,4446327,123.83,123.95,123.52
04/05/2019,124.03,6321827,123.62,124.17,123.58
04/04/2019,123.87,7502495,123.60,123.89,123.44
04/03/2019,123.52,10406990,123.61,123.87,123.37
04/02/2019,124.60,9724020,124.48,124.7369,124.245
04/01/2019,124.37,16500040,125.29,125.3565,124.19
03/29/2019,126.44,10841390,125.68,126.47,125.64
03/28/2019,126.56,9138632,126.25,126.69,126.01
03/27/2019,126.12,14204750,125.42,126.34,125.31
03/26/2019,124.97,7501783,124.70,125.29,124.62
03/25/2019,125.06,9736293,124.81,125.94,124.5099
03/22/2019,124.86,13074860,124.21,125.28,124.06
03/21/2019,122.95,7181569,122.96,123.09,122.74
03/20/2019,122.68,10122430,121.74,122.85,121.73
03/19/2019,121.41,5219723,121.09,121.615,120.89
03/18/2019,121.68,3890984,121.57,121.87,121.5169
03/15/2019,121.75,4226989,121.74,121.95,121.40
03/14/2019,120.95,8188364,121.69,121.76,120.92
03/13/2019,121.83,4386259,121.66,121.96,121.62
03/12/2019,122.06,6422186,121.30,122.23,121.255
03/11/2019,121.21,5157757,121.40,121.42,120.98
03/08/2019,121.57,7514821,121.12,121.69,120.845
03/07/2019,121.06,8185555,120.64,121.26,120.61
03/06/2019,120.28,7765831,119.92,120.52,119.89
03/05/2019,119.84,5595154,119.28,119.87,119.27
03/04/2019,119.59,9807681,119.29,119.77,119.06
03/01/2019,118.66,13536900,119.33,119.53,118.64
02/28/2019,120.02,9533224,120.56,120.62,119.71
02/27/2019,120.43,7737252,121.12,121.13,120.2799
02/26/2019,121.81,6028492,121.73,121.82,121.36
02/25/2019,121.21,6293501,121.17,121.30,120.92
